Level,District Code,District Name,School Name,Test,Grade,Number of Total Records,Number of Valid Scores,Number of No Scores,Participation Rate,Total Score Mean Score,Total Score Standard Deviation,Evidence-Based Reading & Writing Mean Score,Evidence-Based Reading & Writing Standard Deviation,Mathematics Mean Score,Mathematics Standard Deviation,Total Score Mean Score,Evidence-Based Reading & Writing Mean Score,Mathematics Mean Score,Total Score Mean Score,Evidence-Based Reading & Writing Mean Score,Mathematics Mean Score
DISTRICT,0470,ST VRAIN VALLEY RE 1J,All Schools,SAT,11,"   2,234","   2,158",      76,96.6,1015,206,515,105,500,110,1037,528,508,-22,-13,-8
DISTRICT,0480,BOULDER VALLEY RE 2,All Schools,PSAT,09,"   2,591","   2,341",     250,90.4,1007,178,508,93,499,95,1003,506,496,4,2,3
DISTRICT,0480,BOULDER VALLEY RE 2,All Schools,PSAT,10,"   2,577","   2,348",     229,91.1,1054,193,533,101,520,104,1053,534,520,1,-1,0
DISTRICT,0480,BOULDER VALLEY RE 2,All Schools,SAT,11,"   2,485","   2,195",     290,88.3,1132,208,566,103,566,115,1139,575,564,-7,-9,2
DISTRICT,0490,BUENA VISTA R-31,All Schools,PSAT,09,      81,      77,       4,95.1,943,145,488,84,454,73,881,447,435,62,41,19
DISTRICT,0490,BUENA VISTA R-31,All Schools,PSAT,10,      86,      80,       6,93.0,926,117,469,73,457,59,951,488,463,-25,-19,-6
DISTRICT,0490,BUENA VISTA R-31,All Schools,SAT,11,      65,      61,       4,93.8,1037,171,520,86,517,95,993,508,485,44,12,32
DISTRICT,0500,SALIDA R-32,All Schools,PSAT,09,     103,     102,       1,99.0,942,169,478,95,464,85,954,489,465,-12,-11,-1
DISTRICT,0500,SALIDA R-32,All Schools,PSAT,10,      90,      85,       5,94.4,975,167,499,92,477,88,973,491,482,2,8,-5
DISTRICT,0500,SALIDA R-32,All Schools,SAT,11,      84,      82,       2,97.6,1024,181,518,93,505,99,1045,535,511,-21,-17,-6
