Level,District Code,District Name,School Name,Test,Grade,Number of Total Records,Number of Valid Scores,Number of No Scores,Participation Rate,Total Score Mean Score,Total Score Standard Deviation,Evidence-Based Reading & Writing Mean Score,Evidence-Based Reading & Writing Standard Deviation,Mathematics Mean Score,Mathematics Standard Deviation,Total Score Mean Score,Evidence-Based Reading & Writing Mean Score,Mathematics Mean Score,Total Score Mean Score,Evidence-Based Reading & Writing Mean Score,Mathematics Mean Score
SCHOOL,0880,DENVER COUNTY 1,5280 HIGH SCHOOL,PSAT,09,      77,      75,       2,97.4,762,178,393,97,368,90,NA,NA,NA,NA,NA,NA
SCHOOL,0880,DENVER COUNTY 1,5280 HIGH SCHOOL,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,NA,NA,NA,NA,NA,NA
SCHOOL,0880,DENVER COUNTY 1,5280 HIGH SCHOOL,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,NA,NA,NA,NA,NA,NA
SCHOOL,0880,DENVER COUNTY 1,FLORENCE CRITTENTON HIGH SCHOOL,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
SCHOOL,0880,DENVER COUNTY 1,FLORENCE CRITTENTON HIGH SCHOOL,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,762,370,392,- -,- -,- -
SCHOOL,0880,DENVER COUNTY 1,FLORENCE CRITTENTON HIGH SCHOOL,SAT,11,      27,      19,       8,70.4,841,143,414,80,427,78,816,426,390,25,-12,37
SCHOOL,0880,DENVER COUNTY 1,GEORGE WASHINGTON HIGH SCHOOL,PSAT,09,     324,     295,      29,91.0,941,249,477,127,465,131,911,455,457,30,22,8
SCHOOL,0880,DENVER COUNTY 1,GEORGE WASHINGTON HIGH SCHOOL,PSAT,10,     264,     243,      21,92.0,963,229,483,120,481,117,964,489,476,-1,-6,5
SCHOOL,0880,DENVER COUNTY 1,GEORGE WASHINGTON HIGH SCHOOL,SAT,11,     245,     235,      10,95.9,1044,231,527,116,517,122,1027,520,507,17,7,10
SCHOOL,0880,DENVER COUNTY 1,GIRLS ATHLETIC LEADERSHIP SCHOOL HIGH SCHOOL,PSAT,09,      47,      46,       1,97.9,871,184,440,95,432,98,863,434,429,8,6,3
SCHOOL,0880,DENVER COUNTY 1,GIRLS ATHLETIC LEADERSHIP SCHOOL HIGH SCHOOL,PSAT,10,      33,      33,       0,100.0,878,182,455,108,423,81,875,459,416,3,-4,7
SCHOOL,0880,DENVER COUNTY 1,GIRLS ATHLETIC LEADERSHIP SCHOOL HIGH SCHOOL,SAT,11,      25,      25,       0,100.0,909,164,471,91,438,84,989,508,481,-80,-37,-43
SCHOOL,0880,DENVER COUNTY 1,DELTA HIGH SCHOOL,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
SCHOOL,0880,DENVER COUNTY 1,DELTA HIGH SCHOOL,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,765,379,386,- -,- -,- -
SCHOOL,0880,DENVER COUNTY 1,DELTA HIGH SCHOOL,SAT,11,      29,      27,       2,93.1,793,107,401,65,392,63,811,411,400,-18,-10,-8
SCHOOL,0880,DENVER COUNTY 1,JOHN F KENNEDY HIGH SCHOOL,PSAT,09,     221,     202,      19,91.4,793,155,401,74,392,91,795,397,398,-2,4,-6
SCHOOL,0880,DENVER COUNTY 1,JOHN F KENNEDY HIGH SCHOOL,PSAT,10,     237,     216,      21,91.1,840,134,421,81,419,65,828,420,408,12,1,11
SCHOOL,0880,DENVER COUNTY 1,JOHN F KENNEDY HIGH SCHOOL,SAT,11,     202,     191,      11,94.6,889,160,450,84,438,87,899,455,444,-10,-5,-6
SCHOOL,0880,DENVER COUNTY 1,DENVER JUSTICE HIGH SCHOOL,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
SCHOOL,0880,DENVER COUNTY 1,DENVER JUSTICE HIGH SCHOOL,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,744,371,373,- -,- -,- -
SCHOOL,0880,DENVER COUNTY 1,DENVER JUSTICE HIGH SCHOOL,SAT,11,      35,      28,       7,80.0,795,111,410,64,385,58,803,403,399,-8,7,-14
SCHOOL,0880,DENVER COUNTY 1,KIPP NORTHEAST DENVER LEADERSHIP ACADEMY,PSAT,09,     155,     153,       2,98.7,829,156,415,79,413,89,862,426,436,-33,-11,-23
SCHOOL,0880,DENVER COUNTY 1,KIPP NORTHEAST DENVER LEADERSHIP ACADEMY,PSAT,10,     136,     134,       2,98.5,897,157,448,87,449,81,972,495,478,-75,-47,-29
SCHOOL,0880,DENVER COUNTY 1,KIPP NORTHEAST DENVER LEADERSHIP ACADEMY,SAT,11,     108,     106,       2,98.1,1000,186,497,99,503,95,1015,508,507,-15,-11,-4
SCHOOL,0880,DENVER COUNTY 1,KIPP DENVER COLLEGIATE HIGH SCHOOL,PSAT,09,     140,     137,       3,97.9,824,134,414,68,410,75,852,422,430,-28,-8,-20
SCHOOL,0880,DENVER COUNTY 1,KIPP DENVER COLLEGIATE HIGH SCHOOL,PSAT,10,     115,     114,       1,99.1,910,145,463,85,447,72,905,462,443,5,1,4
SCHOOL,0880,DENVER COUNTY 1,KIPP DENVER COLLEGIATE HIGH SCHOOL,SAT,11,     110,     107,       3,97.3,972,153,487,80,485,85,945,472,474,27,15,11
SCHOOL,0880,DENVER COUNTY 1,KUNSMILLER CREATIVE ARTS ACADEMY,PSAT,09,      91,      88,       3,96.7,811,134,409,71,402,74,777,390,387,34,19,15
SCHOOL,0880,DENVER COUNTY 1,KUNSMILLER CREATIVE ARTS ACADEMY,PSAT,10,      61,      61,       0,100.0,824,149,422,86,402,75,852,447,405,-28,-25,-3
SCHOOL,0880,DENVER COUNTY 1,KUNSMILLER CREATIVE ARTS ACADEMY,SAT,11,      63,      61,       2,96.8,879,150,453,75,426,88,882,461,420,-3,-8,6
SCHOOL,0880,DENVER COUNTY 1,LEGACY OPTIONS HIGH SCHOOL,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
SCHOOL,0880,DENVER COUNTY 1,LEGACY OPTIONS HIGH SCHOOL,PSAT,10,      24,      24,       0,100.0,749,86,371,54,378,50,736,367,369,13,4,9
SCHOOL,0880,DENVER COUNTY 1,LEGACY OPTIONS HIGH SCHOOL,SAT,11,      22,      19,       3,86.4,786,81,395,45,392,49,792,395,397,-6,0,-5
SCHOOL,0880,DENVER COUNTY 1,MANUAL HIGH SCHOOL,PSAT,09,      69,      64,       5,92.8,759,150,382,73,377,87,739,369,371,20,13,6
SCHOOL,0880,DENVER COUNTY 1,MANUAL HIGH SCHOOL,PSAT,10,      72,      70,       2,97.2,791,117,393,65,398,63,808,408,401,-17,-15,-3
SCHOOL,0880,DENVER COUNTY 1,MANUAL HIGH SCHOOL,SAT,11,      81,      77,       4,95.1,863,146,434,77,429,81,871,438,433,-8,-4,-4
SCHOOL,0880,DENVER COUNTY 1,DR. MARTIN LUTHER KING JR. EARLY COLLEGE,PSAT,09,     207,     173,      34,83.6,795,148,397,69,399,93,812,395,417,-17,2,-18
SCHOOL,0880,DENVER COUNTY 1,DR. MARTIN LUTHER KING JR. EARLY COLLEGE,PSAT,10,     201,     176,      25,87.6,812,144,406,75,406,85,829,422,407,-17,-16,-1
SCHOOL,0880,DENVER COUNTY 1,DR. MARTIN LUTHER KING JR. EARLY COLLEGE,SAT,11,     141,     133,       8,94.3,883,132,443,71,441,74,865,434,430,18,9,11
SCHOOL,0880,DENVER COUNTY 1,CONTEMPORARY LEARNING ACADEMY,PSAT,09,      18,      17,       1,94.4,738,114,379,55,359,71,739,382,358,-1,-3,1
SCHOOL,0880,DENVER COUNTY 1,CONTEMPORARY LEARNING ACADEMY,PSAT,10,      31,      29,       2,93.5,738,101,360,55,378,55,777,398,379,-39,-38,-1
SCHOOL,0880,DENVER COUNTY 1,CONTEMPORARY LEARNING ACADEMY,SAT,11,      46,      44,       2,95.7,798,132,407,67,391,76,782,393,390,16,14,1
SCHOOL,0880,DENVER COUNTY 1,NOEL COMMUNITY ARTS SCHOOL,PSAT,09,      74,      73,       1,98.6,733,117,365,59,368,70,753,377,376,-20,-12,-8
SCHOOL,0880,DENVER COUNTY 1,NOEL COMMUNITY ARTS SCHOOL,PSAT,10,      59,      56,       3,94.9,836,143,418,84,418,74,810,419,392,26,-1,26
SCHOOL,0880,DENVER COUNTY 1,NOEL COMMUNITY ARTS SCHOOL,SAT,11,      64,      62,       2,96.9,845,129,421,69,424,75,843,424,419,2,-3,5
SCHOOL,0880,DENVER COUNTY 1,NORTH HIGH SCHOOL ENGAGEMENT CENTER,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
SCHOOL,0880,DENVER COUNTY 1,NORTH HIGH SCHOOL ENGAGEMENT CENTER,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
SCHOOL,0880,DENVER COUNTY 1,NORTH HIGH SCHOOL ENGAGEMENT CENTER,SAT,11,      21,      19,       2,90.5,809,107,415,60,394,70,- -,- -,- -,- -,- -,- -
SCHOOL,0880,DENVER COUNTY 1,NORTH HIGH SCHOOL,PSAT,09,     335,     322,      13,96.1,871,173,441,91,430,91,818,411,407,53,30,23
SCHOOL,0880,DENVER COUNTY 1,NORTH HIGH SCHOOL,PSAT,10,     276,     266,      10,96.4,861,164,440,97,421,78,858,439,419,3,1,2
SCHOOL,0880,DENVER COUNTY 1,NORTH HIGH SCHOOL,SAT,11,     216,     206,      10,95.4,912,169,464,92,448,88,920,468,452,-8,-4,-4
SCHOOL,0880,DENVER COUNTY 1,BRUCE RANDOLPH SCHOOL,PSAT,09,     111,     110,       1,99.1,780,116,390,57,390,71,761,383,378,19,7,12
SCHOOL,0880,DENVER COUNTY 1,BRUCE RANDOLPH SCHOOL,PSAT,10,      90,      87,       3,96.7,806,131,402,78,404,64,811,408,403,-5,-6,1
SCHOOL,0880,DENVER COUNTY 1,BRUCE RANDOLPH SCHOOL,SAT,11,      69,      68,       1,98.6,849,138,425,73,424,74,891,453,438,-42,-28,-14
SCHOOL,0880,DENVER COUNTY 1,NORTHFIELD HIGH SCHOOL,PSAT,09,     270,     264,       6,97.8,930,189,468,98,462,100,909,458,451,21,10,11
SCHOOL,0880,DENVER COUNTY 1,NORTHFIELD HIGH SCHOOL,PSAT,10,     194,     185,       9,95.4,938,198,479,110,460,97,943,489,454,-5,-10,6
SCHOOL,0880,DENVER COUNTY 1,NORTHFIELD HIGH SCHOOL,SAT,11,     186,     180,       6,96.8,993,177,507,96,487,90,1024,529,495,-31,-22,-8
SCHOOL,0880,DENVER COUNTY 1,DENVER ONLINE HIGH SCHOOL,PSAT,09,      44,      37,       7,84.1,878,161,452,90,425,77,871,442,430,7,10,-5
SCHOOL,0880,DENVER COUNTY 1,DENVER ONLINE HIGH SCHOOL,PSAT,10,      64,      54,      10,84.4,934,166,485,96,449,81,949,494,455,-15,-9,-6
SCHOOL,0880,DENVER COUNTY 1,DENVER ONLINE HIGH SCHOOL,SAT,11,      61,      50,      11,82.0,1006,196,530,105,477,101,1035,535,499,-29,-5,-22
SCHOOL,0880,DENVER COUNTY 1,PREP ACADEMY,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
SCHOOL,0880,DENVER COUNTY 1,PREP ACADEMY,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
SCHOOL,0880,DENVER COUNTY 1,PREP ACADEMY,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
SCHOOL,0880,DENVER COUNTY 1,MONTBELLO CAREER AND TECHNICAL HIGH SCHOOL,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
SCHOOL,0880,DENVER COUNTY 1,MONTBELLO CAREER AND TECHNICAL HIGH SCHOOL,SAT,11,      18,      18,       0,100.0,855,133,424,63,431,81,- -,- -,- -,- -,- -,- -
SCHOOL,0880,DENVER COUNTY 1,RESPECT ACADEMY,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
SCHOOL,0880,DENVER COUNTY 1,RESPECT ACADEMY,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,795,402,393,- -,- -,- -
SCHOOL,0880,DENVER COUNTY 1,RISEUP COMMUNITY SCHOOL,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
SCHOOL,0880,DENVER COUNTY 1,RISEUP COMMUNITY SCHOOL,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
SCHOOL,0880,DENVER COUNTY 1,RISEUP COMMUNITY SCHOOL,SAT,11,      27,      17,      10,63.0,756,69,388,49,369,29,751,381,370,5,7,-1
SCHOOL,0880,DENVER COUNTY 1,STRIVE PREP - RISE,PSAT,09,     140,     136,       4,97.1,843,132,429,74,413,70,830,412,417,13,17,-4
SCHOOL,0880,DENVER COUNTY 1,STRIVE PREP - RISE,PSAT,10,     112,     109,       3,97.3,891,131,442,80,449,64,919,468,451,-28,-26,-2
SCHOOL,0880,DENVER COUNTY 1,STRIVE PREP - RISE,SAT,11,     120,     120,       0,100.0,970,150,480,79,490,81,NA,NA,NA,NA,NA,NA
SCHOOL,0880,DENVER COUNTY 1,SOUTH HIGH SCHOOL,PSAT,09,     452,     413,      39,91.4,945,199,474,104,471,105,885,443,442,60,31,29
SCHOOL,0880,DENVER COUNTY 1,SOUTH HIGH SCHOOL,PSAT,10,     373,     337,      36,90.3,949,199,480,105,469,107,905,458,447,44,22,22
SCHOOL,0880,DENVER COUNTY 1,SOUTH HIGH SCHOOL,SAT,11,     336,     322,      14,95.8,981,206,493,106,489,109,977,493,483,4,0,6
SCHOOL,0880,DENVER COUNTY 1,EARLY COLLEGE OF DENVER,PSAT,09,      16,      16,       0,100.0,878,118,424,57,454,73,775,392,383,103,32,71
SCHOOL,0880,DENVER COUNTY 1,EARLY COLLEGE OF DENVER,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,885,436,450,- -,- -,- -
SCHOOL,0880,DENVER COUNTY 1,EARLY COLLEGE OF DENVER,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,960,480,480,- -,- -,- -
SCHOOL,0880,DENVER COUNTY 1,SUMMIT ACADEMY,PSAT,09,      42,      42,       0,100.0,760,145,382,67,379,88,738,372,366,22,10,13
SCHOOL,0880,DENVER COUNTY 1,SUMMIT ACADEMY,PSAT,10,      42,      41,       1,97.6,770,90,384,57,386,42,768,394,374,2,-10,12
SCHOOL,0880,DENVER COUNTY 1,SUMMIT ACADEMY,SAT,11,      40,      36,       4,90.0,804,116,401,64,403,65,807,404,403,-3,-3,0
SCHOOL,0880,DENVER COUNTY 1,STRIVE PREP - EXCEL,PSAT,09,     120,     114,       6,95.0,740,114,375,55,366,71,740,374,366,0,1,0
SCHOOL,0880,DENVER COUNTY 1,STRIVE PREP - EXCEL,PSAT,10,      48,      47,       1,97.9,848,132,423,80,425,59,853,430,424,-5,-7,1
SCHOOL,0880,DENVER COUNTY 1,STRIVE PREP - EXCEL,SAT,11,      51,      50,       1,98.0,946,154,467,79,478,84,920,460,459,26,7,19
SCHOOL,0880,DENVER COUNTY 1,THOMAS JEFFERSON HIGH SCHOOL,PSAT,09,     357,     345,      12,96.6,923,171,465,88,458,92,895,446,449,28,19,9
SCHOOL,0880,DENVER COUNTY 1,THOMAS JEFFERSON HIGH SCHOOL,PSAT,10,     260,     255,       5,98.1,954,179,484,93,470,95,965,489,476,-11,-5,-6
SCHOOL,0880,DENVER COUNTY 1,THOMAS JEFFERSON HIGH SCHOOL,SAT,11,     253,     247,       6,97.6,1024,183,514,94,510,98,1042,525,516,-18,-11,-6
SCHOOL,0880,DENVER COUNTY 1,VISTA ACADEMY,PSAT,09,      27,      26,       1,96.3,720,58,366,35,354,32,742,373,369,-22,-7,-15
SCHOOL,0880,DENVER COUNTY 1,VISTA ACADEMY,PSAT,10,      55,      55,       0,100.0,770,99,386,66,384,49,760,386,374,10,0,10
SCHOOL,0880,DENVER COUNTY 1,VISTA ACADEMY,SAT,11,      61,      58,       3,95.1,773,114,389,55,383,68,829,416,413,-56,-27,-30
SCHOOL,0880,DENVER COUNTY 1,STRIVE PREP - SMART ACADEMY,PSAT,09,     125,     124,       1,99.2,777,118,394,62,383,66,787,384,403,-10,10,-20
SCHOOL,0880,DENVER COUNTY 1,STRIVE PREP - SMART ACADEMY,PSAT,10,     124,     121,       3,97.6,848,139,419,75,429,73,866,431,436,-18,-12,-7
SCHOOL,0880,DENVER COUNTY 1,STRIVE PREP - SMART ACADEMY,SAT,11,      95,      94,       1,98.9,928,166,451,82,477,91,926,458,469,2,-7,8
SCHOOL,0880,DENVER COUNTY 1,WEST EARLY COLLEGE,PSAT,09,     116,     108,       8,93.1,762,112,381,53,382,70,790,388,402,-28,-7,-20
SCHOOL,0880,DENVER COUNTY 1,WEST EARLY COLLEGE,PSAT,10,      86,      78,       8,90.7,836,151,413,85,423,76,818,414,403,18,-1,20
SCHOOL,0880,DENVER COUNTY 1,WEST EARLY COLLEGE,SAT,11,      59,      59,       0,100.0,850,167,429,83,421,95,894,442,451,-44,-13,-30
SCHOOL,0880,DENVER COUNTY 1,WEST LEADERSHIP ACADEMY,PSAT,09,     126,     119,       7,94.4,771,135,391,72,380,74,770,383,387,1,8,-7
SCHOOL,0880,DENVER COUNTY 1,WEST LEADERSHIP ACADEMY,PSAT,10,      97,      89,       8,91.8,830,123,426,73,404,63,815,416,399,15,10,5
SCHOOL,0880,DENVER COUNTY 1,WEST LEADERSHIP ACADEMY,SAT,11,      87,      85,       2,97.7,866,147,432,80,434,79,850,418,432,16,14,2
SCHOOL,0880,DENVER COUNTY 1,GILLIAM SCHOOL,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,NA,NA,NA,NA,NA,NA
SCHOOL,0880,DENVER COUNTY 1,GILLIAM SCHOOL,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,NA,NA,NA,NA,NA,NA
SCHOOL,0880,DENVER COUNTY 1,GILLIAM SCHOOL,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,NA,NA,NA,NA,NA,NA
SCHOOL,0890,DOLORES COUNTY RE NO.2,DOVE CREEK HIGH SCHOOL,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,809,427,382,- -,- -,- -
SCHOOL,0890,DOLORES COUNTY RE NO.2,DOVE CREEK HIGH SCHOOL,PSAT,10,      22,      20,       2,90.9,843,105,450,63,394,66,- -,- -,- -,- -,- -,- -
SCHOOL,0890,DOLORES COUNTY RE NO.2,DOVE CREEK HIGH SCHOOL,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
SCHOOL,0900,DOUGLAS COUNTY RE 1,ASCENT CLASSICAL ACADEMY,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,NA,NA,NA,NA,NA,NA
SCHOOL,0900,DOUGLAS COUNTY RE 1,ASCENT CLASSICAL ACADEMY,PSAT,10,      22,      20,       2,90.9,991,160,509,94,482,75,NA,NA,NA,NA,NA,NA
SCHOOL,0900,DOUGLAS COUNTY RE 1,DANIEL C OAKES HIGH SCHOOL--CASTLE ROCK,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
SCHOOL,0900,DOUGLAS COUNTY RE 1,DANIEL C OAKES HIGH SCHOOL--CASTLE ROCK,SAT,11,      54,      51,       3,94.4,881,145,457,84,424,70,906,466,440,-25,-9,-16
SCHOOL,0900,DOUGLAS COUNTY RE 1,CASTLE VIEW HIGH SCHOOL,PSAT,09,     544,     514,      30,94.5,946,159,485,84,461,86,940,480,460,6,5,1
SCHOOL,0900,DOUGLAS COUNTY RE 1,CASTLE VIEW HIGH SCHOOL,PSAT,10,     556,     524,      32,94.2,968,158,498,87,470,82,978,508,470,-10,-10,0
SCHOOL,0900,DOUGLAS COUNTY RE 1,CASTLE VIEW HIGH SCHOOL,SAT,11,     486,     457,      29,94.0,1044,173,533,91,511,94,1051,534,517,-7,-1,-6
SCHOOL,0900,DOUGLAS COUNTY RE 1,CHAPARRAL HIGH SCHOOL,PSAT,09,     550,     492,      58,89.5,968,159,486,88,482,82,955,482,473,13,4,9
SCHOOL,0900,DOUGLAS COUNTY RE 1,CHAPARRAL HIGH SCHOOL,PSAT,10,     594,     536,      58,90.2,1002,159,508,88,493,82,1018,514,504,-16,-6,-11
SCHOOL,0900,DOUGLAS COUNTY RE 1,CHAPARRAL HIGH SCHOOL,SAT,11,     482,     469,      13,97.3,1085,179,543,92,543,98,1090,543,546,-5,0,-3
SCHOOL,0900,DOUGLAS COUNTY RE 1,DOUGLAS COUNTY HIGH SCHOOL,PSAT,09,     485,     432,      53,89.1,943,155,471,86,472,81,943,476,467,0,-5,5
SCHOOL,0900,DOUGLAS COUNTY RE 1,DOUGLAS COUNTY HIGH SCHOOL,PSAT,10,     426,     379,      47,89.0,971,157,490,88,480,80,987,496,491,-16,-6,-11
SCHOOL,0900,DOUGLAS COUNTY RE 1,DOUGLAS COUNTY HIGH SCHOOL,SAT,11,     425,     379,      46,89.2,1060,184,531,93,529,102,1056,527,529,4,4,0
SCHOOL,0900,DOUGLAS COUNTY RE 1,EAGLE ACADEMY,PSAT,10,      18,      16,       2,88.9,809,146,423,91,386,61,- -,- -,- -,- -,- -,- -
SCHOOL,0900,DOUGLAS COUNTY RE 1,EAGLE ACADEMY,SAT,11,      64,      52,      12,81.3,894,158,458,86,436,85,875,443,432,19,15,4
SCHOOL,0900,DOUGLAS COUNTY RE 1,HIGHLANDS RANCH HIGH SCHOOL,PSAT,09,     410,     375,      35,91.5,976,160,490,86,486,86,958,479,479,18,11,7
SCHOOL,0900,DOUGLAS COUNTY RE 1,HIGHLANDS RANCH HIGH SCHOOL,PSAT,10,     429,     377,      52,87.9,982,177,495,94,487,96,1010,505,505,-28,-10,-18
SCHOOL,0900,DOUGLAS COUNTY RE 1,HIGHLANDS RANCH HIGH SCHOOL,SAT,11,     384,     364,      20,94.8,1095,199,543,99,552,110,1098,547,551,-3,-4,1
SCHOOL,0900,DOUGLAS COUNTY RE 1,HOPE ONLINE LEARNING ACADEMY HIGH SCHOOL,PSAT,09,     138,     131,       7,94.9,739,96,374,56,365,56,741,374,367,-2,0,-2
SCHOOL,0900,DOUGLAS COUNTY RE 1,HOPE ONLINE LEARNING ACADEMY HIGH SCHOOL,PSAT,10,     145,     132,      13,91.0,781,110,395,63,386,60,780,401,380,1,-6,6
SCHOOL,0900,DOUGLAS COUNTY RE 1,HOPE ONLINE LEARNING ACADEMY HIGH SCHOOL,SAT,11,     128,     123,       5,96.1,800,120,413,66,387,67,825,425,400,-25,-12,-13
SCHOOL,0900,DOUGLAS COUNTY RE 1,LEGEND HIGH SCHOOL,PSAT,09,     598,     568,      30,95.0,958,154,485,84,472,81,951,482,468,7,3,4
SCHOOL,0900,DOUGLAS COUNTY RE 1,LEGEND HIGH SCHOOL,PSAT,10,     520,     488,      32,93.8,988,165,510,93,478,84,993,509,484,-5,1,-6
SCHOOL,0900,DOUGLAS COUNTY RE 1,LEGEND HIGH SCHOOL,SAT,11,     529,     509,      20,96.2,1078,178,545,92,533,98,1057,536,521,21,9,12
SCHOOL,0900,DOUGLAS COUNTY RE 1,STEM SCHOOL HIGHLANDS RANCH,PSAT,09,     184,     182,       2,98.9,1047,139,520,81,527,72,1073,544,529,-26,-24,-2
SCHOOL,0900,DOUGLAS COUNTY RE 1,STEM SCHOOL HIGHLANDS RANCH,PSAT,10,     174,     165,       9,94.8,1120,171,572,89,548,96,1134,573,561,-14,-1,-13
SCHOOL,0900,DOUGLAS COUNTY RE 1,STEM SCHOOL HIGHLANDS RANCH,SAT,11,     120,     116,       4,96.7,1216,171,610,86,606,96,1232,622,610,-16,-12,-4
SCHOOL,0900,DOUGLAS COUNTY RE 1,EDCSD,PSAT,09,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
SCHOOL,0900,DOUGLAS COUNTY RE 1,EDCSD,PSAT,10,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
SCHOOL,0900,DOUGLAS COUNTY RE 1,EDCSD,SAT,11,- -,< 16,- -,- -,- -,- -,- -,- -,- -,- -,1079,559,521,- -,- -,- -
SCHOOL,0900,DOUGLAS COUNTY RE 1,MOUNTAIN VISTA HIGH SCHOOL,PSAT,09,     593,     551,      42,92.9,992,155,503,84,489,84,987,494,493,5,9,-4
SCHOOL,0900,DOUGLAS COUNTY RE 1,MOUNTAIN VISTA HIGH SCHOOL,PSAT,10,     568,     532,      36,93.7,1027,162,521,88,506,85,1050,528,522,-23,-7,-16
SCHOOL,0900,DOUGLAS COUNTY RE 1,MOUNTAIN VISTA HIGH SCHOOL,SAT,11,     569,     543,      26,95.4,1124,186,559,92,565,104,1135,570,565,-11,-11,0
SCHOOL,0900,DOUGLAS COUNTY RE 1,SKYVIEW ACADEMY,PSAT,09,      86,      84,       2,97.7,979,135,498,79,482,69,952,480,472,27,18,10
SCHOOL,0900,DOUGLAS COUNTY RE 1,SKYVIEW ACADEMY,PSAT,10,      75,      74,       1,98.7,1006,167,517,91,488,88,1065,542,523,-59,-25,-35
SCHOOL,0900,DOUGLAS COUNTY RE 1,SKYVIEW ACADEMY,SAT,11,      86,      85,       1,98.8,1184,154,592,81,592,81,1149,573,576,35,19,16
SCHOOL,0900,DOUGLAS COUNTY RE 1,PONDEROSA HIGH SCHOOL,PSAT,09,     380,     344,      36,90.5,961,165,489,90,472,85,956,486,469,5,3,3
SCHOOL,0900,DOUGLAS COUNTY RE 1,PONDEROSA HIGH SCHOOL,PSAT,10,     347,     315,      32,90.8,976,160,497,88,478,83,1001,504,497,-25,-7,-19
SCHOOL,0900,DOUGLAS COUNTY RE 1,PONDEROSA HIGH SCHOOL,SAT,11,     339,     321,      18,94.7,1047,172,525,88,521,96,1058,529,528,-11,-4,-7
SCHOOL,0900,DOUGLAS COUNTY RE 1,RENAISSANCE SECONDARY SCHOOL,PSAT,09,      60,      52,       8,86.7,857,130,444,72,413,71,923,485,439,-66,-41,-26
SCHOOL,0900,DOUGLAS COUNTY RE 1,RENAISSANCE SECONDARY SCHOOL,PSAT,10,      39,      32,       7,82.1,896,138,473,86,423,72,931,494,437,-35,-21,-14
SCHOOL,0900,DOUGLAS COUNTY RE 1,RENAISSANCE SECONDARY SCHOOL,SAT,11,      39,      34,       5,87.2,972,152,514,81,457,80,NA,NA,NA,NA,NA,NA
SCHOOL,0900,DOUGLAS COUNTY RE 1,ROCK CANYON HIGH SCHOOL,PSAT,09,     569,     547,      22,96.1,1019,143,519,78,500,77,1012,511,501,7,8,-1
SCHOOL,0900,DOUGLAS COUNTY RE 1,ROCK CANYON HIGH SCHOOL,PSAT,10,     578,     550,      28,95.2,1065,172,548,89,518,96,1069,539,530,-4,9,-12
SCHOOL,0900,DOUGLAS COUNTY RE 1,ROCK CANYON HIGH SCHOOL,SAT,11,     550,     534,      16,97.1,1155,181,576,88,579,102,1155,585,570,0,-9,9
