district_name,total_student_count,participation_rate,total,evidence_based_reading_writing,math
LAS ANIMAS RE-1,34.0,97.1,871.0,458.0,413.0
MC CLAVE RE-2,22.0,86.4,898.0,457.0,441.0
ST VRAIN VALLEY RE 1J,293.0,98.0,1066.0,538.0,527.0
ST VRAIN VALLEY RE 1J,249.0,99.2,952.0,488.0,464.0
ST VRAIN VALLEY RE 1J,311.0,97.7,992.0,504.0,488.0
ST VRAIN VALLEY RE 1J,44.0,100.0,1111.0,558.0,553.0
ST VRAIN VALLEY RE 1J,261.0,96.2,1012.0,509.0,503.0
ST VRAIN VALLEY RE 1J,307.0,93.8,1091.0,551.0,540.0
ST VRAIN VALLEY RE 1J,38.0,100.0,776.0,407.0,369.0
ST VRAIN VALLEY RE 1J,338.0,95.6,1088.0,556.0,533.0
ST VRAIN VALLEY RE 1J,43.0,86.0,1036.0,540.0,495.0
ST VRAIN VALLEY RE 1J,319.0,96.6,910.0,461.0,449.0
ST VRAIN VALLEY RE 1J,31.0,100.0,1021.0,517.0,504.0
BOULDER VALLEY RE 2,56.0,78.6,793.0,417.0,376.0
BOULDER VALLEY RE 2,473.0,83.7,1143.0,575.0,568.0
BOULDER VALLEY RE 2,401.0,95.8,1071.0,531.0,540.0
BOULDER VALLEY RE 2,307.0,93.8,1069.0,534.0,535.0
BOULDER VALLEY RE 2,521.0,86.6,1217.0,602.0,615.0
BOULDER VALLEY RE 2,401.0,91.8,1163.0,579.0,584.0
BOULDER VALLEY RE 2,86.0,91.9,1056.0,560.0,496.0
BOULDER VALLEY RE 2,27.0,92.6,1110.0,559.0,551.0
BOULDER VALLEY RE 2,139.0,98.6,1230.0,621.0,610.0
BUENA VISTA R-31,61.0,93.4,1049.0,524.0,525.0
SALIDA R-32,74.0,97.3,1041.0,526.0,515.0
CLEAR CREEK RE-1,52.0,98.1,974.0,505.0,469.0
NORTH CONEJOS RE-1J,63.0,100.0,991.0,487.0,504.0
SANFORD 6J,24.0,100.0,1034.0,525.0,509.0
CENTENNIAL R-1,19.0,89.5,926.0,469.0,457.0
CROWLEY COUNTY RE-1-J,30.0,86.7,854.0,438.0,416.0
CUSTER COUNTY SCHOOL DISTRICT C-1,30.0,100.0,974.0,492.0,482.0
DELTA COUNTY 50(J),53.0,100.0,1019.0,517.0,502.0
DELTA COUNTY 50(J),28.0,71.4,727.0,372.0,356.0
DELTA COUNTY 50(J),133.0,98.5,944.0,476.0,467.0
DELTA COUNTY 50(J),25.0,96.0,930.0,489.0,441.0
DELTA COUNTY 50(J),38.0,100.0,978.0,499.0,479.0
DELTA COUNTY 50(J),36.0,100.0,1018.0,528.0,490.0
DENVER COUNTY 1,193.0,93.3,839.0,415.0,424.0
DENVER COUNTY 1,29.0,100.0,787.0,402.0,384.0
DENVER COUNTY 1,71.0,100.0,892.0,447.0,445.0
DENVER COUNTY 1,98.0,98.0,938.0,468.0,470.0
DENVER COUNTY 1,25.0,80.0,868.0,453.0,415.0
DENVER COUNTY 1,29.0,72.4,770.0,382.0,388.0
DENVER COUNTY 1,77.0,84.4,791.0,415.0,376.0
DENVER COUNTY 1,132.0,97.7,1074.0,514.0,561.0
DENVER COUNTY 1,26.0,100.0,884.0,482.0,403.0
DENVER COUNTY 1,78.0,98.7,1015.0,485.0,529.0
DENVER COUNTY 1,82.0,97.6,1113.0,575.0,538.0
DENVER COUNTY 1,175.0,94.9,1195.0,616.0,579.0
DENVER COUNTY 1,144.0,99.3,1159.0,558.0,600.0
DENVER COUNTY 1,29.0,79.3,773.0,408.0,365.0
DENVER COUNTY 1,126.0,92.1,828.0,409.0,419.0
DENVER COUNTY 1,104.0,95.2,1224.0,598.0,625.0
DENVER COUNTY 1,56.0,96.4,1031.0,524.0,508.0
DENVER COUNTY 1,130.0,98.5,971.0,477.0,493.0
DENVER COUNTY 1,569.0,93.0,1115.0,561.0,553.0
DENVER COUNTY 1,69.0,73.9,776.0,400.0,376.0
DENVER COUNTY 1,66.0,89.4,847.0,432.0,415.0
DENVER COUNTY 1,73.0,100.0,836.0,424.0,412.0
DENVER COUNTY 1,27.0,70.4,841.0,414.0,427.0
DENVER COUNTY 1,245.0,95.9,1044.0,527.0,517.0
DENVER COUNTY 1,25.0,100.0,909.0,471.0,438.0
DENVER COUNTY 1,29.0,93.1,793.0,401.0,392.0
DENVER COUNTY 1,202.0,94.6,889.0,450.0,438.0
DENVER COUNTY 1,35.0,80.0,795.0,410.0,385.0
DENVER COUNTY 1,108.0,98.1,1000.0,497.0,503.0
DENVER COUNTY 1,110.0,97.3,972.0,487.0,485.0
DENVER COUNTY 1,63.0,96.8,879.0,453.0,426.0
DENVER COUNTY 1,22.0,86.4,786.0,395.0,392.0
DENVER COUNTY 1,81.0,95.1,863.0,434.0,429.0
DENVER COUNTY 1,141.0,94.3,883.0,443.0,441.0
DENVER COUNTY 1,46.0,95.7,798.0,407.0,391.0
